Age,BusinessTravel,Department,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,JobLevel_updated
57,Travel_Rarely,Corporate Functions,Doctorate,3,Male,3,3,Married,10492,Yes,4,3,39,2,2,14,4,5,3,L7
52,Travel_Rarely,Corporate Functions,Doctorate,3,Male,3,2,Married,11529,Yes,3,3,33,2,2,12,4,5,3,L6
53,Travel_Rarely,Corporate Functions,Doctorate,3,Female,2,4,Married,10169,No,4,2,34,4,3,12,3,1,4,L6
54,Travel_Rarely,Corporate Functions,Diploma,3,Male,2,4,Married,10314,Yes,3,3,35,3,2,13,4,5,3,L7
57,Travel_Rarely,Marketing,Diploma,3,Male,2,2,Married,19255,Yes,4,4,39,2,3,11,5,5,3,L5
57,Travel_Rarely,Corporate Functions,Masters,3,Male,2,3,Married,10322,Yes,3,4,38,2,2,14,4,5,3,L7
50,Travel_Rarely,Corporate Functions,Diploma,2,Female,2,4,Married,10557,No,3,2,31,4,3,11,3,1,3,L6
52,Travel_Rarely,Corporate Functions,Diploma,2,Male,2,4,Divorced,10163,No,4,1,33,3,3,11,3,1,3,L6
58,Travel_Rarely,Delivery,Diploma,4,Female,3,4,Married,10312,No,2,4,40,3,2,15,4,6,3,L3
57,Travel_Rarely,Marketing,Masters,4,Male,3,1,Married,19272,No,3,4,39,2,3,11,5,5,3,L5
51,Travel_Rarely,Corporate Functions,Doctorate,3,Male,2,4,Divorced,10080,No,4,2,29,3,3,11,3,1,3,L6
55,Travel_Rarely,Corporate Functions,Masters,3,Male,2,3,Married,10348,Yes,4,4,36,2,2,13,4,5,3,L7
51,Travel_Rarely,Corporate Functions,Doctorate,3,Male,1,2,Married,15590,No,4,3,31,2,1,10,4,5,4,L6
51,Travel_Rarely,Corporate Functions,Bachelors,3,Male,2,2,Married,10389,Yes,3,4,32,2,2,11,3,4,3,L6
52,Travel_Rarely,Product,Bachelors,3,Male,2,3,Married,10193,No,4,4,34,3,2,12,4,5,3,L2
51,Travel_Rarely,Corporate Functions,Diploma,1,Male,1,3,Married,18567,Yes,5,3,31,3,2,11,5,3,4,L6
51,Travel_Rarely,Corporate Functions,Doctorate,3,Male,2,4,Married,10315,No,3,3,32,3,2,12,4,4,3,L6
57,Travel_Rarely,Corporate Functions,Diploma,3,Male,3,3,Married,10331,Yes,5,3,36,2,2,12,3,5,2,L6
55,Travel_Rarely,Corporate Functions,Diploma,3,Male,2,4,Married,19586,No,4,3,36,3,3,13,3,1,5,L7
53,Travel_Rarely,Sales,Doctorate,3,Male,2,4,Married,10314,No,5,3,34,3,2,12,4,5,3,L3
58,Travel_Rarely,Corporate Functions,Masters,4,Male,3,3,Single,13872,No,3,3,38,1,2,13,4,1,3,L7
44,Travel_Rarely,Corporate Functions,Diploma,3,Male,3,1,Married,13225,No,5,2,24,2,2,9,4,5,5,L6
50,Travel_Rarely,Corporate Functions,Doctorate,3,Female,2,4,Married,9939,No,5,2,23,3,3,9,3,1,3,L6
54,Travel_Rarely,Corporate Functions,Masters,2,Female,2,3,Married,19577,No,3,3,35,2,2,13,2,1,5,L7
56,Travel_Rarely,Sales,Masters,3,Female,2,3,Single,13969,No,3,3,36,1,2,13,4,2,3,L4
58,Travel_Rarely,Corporate Functions,Doctorate,4,Male,3,2,Single,19246,Yes,4,4,40,2,3,11,6,5,3,L6
54,Travel_Rarely,Corporate Functions,Masters,3,Female,2,4,Divorced,19584,No,3,3,35,3,2,13,2,1,5,L7
54,Travel_Rarely,HR,Bachelors,4,Male,3,1,Divorced,19049,No,3,2,36,2,2,13,4,2,5,L5
53,Travel_Rarely,Corporate Functions,Diploma,1,Male,1,3,Married,19691,Yes,5,4,34,2,3,11,5,3,3,L6
50,Travel_Rarely,Corporate Functions,Masters,1,Male,1,3,Married,17171,Yes,3,3,29,3,2,10,4,4,4,L6
55,Travel_Rarely,Delivery,Doctorate,4,Male,3,1,Single,19045,Yes,3,3,37,2,3,13,4,2,5,L5
47,Travel_Frequently,Corporate Functions,Diploma,3,Male,1,3,Married,12936,No,5,3,25,3,1,9,2,5,4,L6
46,Travel_Rarely,Corporate Functions,Doctorate,2,Male,2,1,Married,10446,Yes,5,4,27,1,2,9,3,2,3,L6
54,Travel_Rarely,Sales,Diploma,3,Female,2,3,Single,14116,No,3,3,35,1,2,12,3,3,3,L4
57,Travel_Rarely,Corporate Functions,Diploma,3,Female,3,3,Single,13842,No,3,2,36,1,1,12,4,1,3,L6
42,Travel_Rarely,Marketing,Doctorate,2,Male,2,1,Married,12666,Yes,5,2,22,1,2,8,3,4,4,L3
49,Travel_Rarely,Corporate Functions,Doctorate,2,Male,2,2,Married,10417,Yes,4,4,30,1,2,10,3,3,3,L6
51,Travel_Rarely,Corporate Functions,Masters,3,Male,3,2,Divorced,14026,Yes,3,2,33,2,3,12,4,1,4,L6
42,Travel_Rarely,Corporate Functions,Diploma,2,Male,2,1,Married,13252,Yes,5,2,22,1,2,8,3,4,5,L3
44,Travel_Rarely,Sales,Masters,1,Male,1,1,Single,10832,Yes,5,3,24,1,3,8,3,1,3,L3
50,Travel_Frequently,Corporate Functions,Doctorate,3,Male,1,4,Single,14411,Yes,3,4,32,2,3,12,3,5,4,L6
52,Non-Travel,Corporate Functions,Doctorate,1,Male,2,3,Single,19068,Yes,3,4,33,2,4,12,3,6,5,L6
50,Non-Travel,Corporate Functions,Masters,1,Male,2,3,Married,19084,No,3,3,32,2,3,12,3,5,4,L6
52,Travel_Rarely,Delivery,Masters,3,Male,2,1,Married,16856,No,3,1,34,3,4,12,3,1,6,L4
50,Travel_Frequently,Corporate Functions,Diploma,1,Male,3,2,Married,18200,No,3,3,32,2,3,12,2,4,3,L6
50,Travel_Rarely,Corporate Functions,Bachelors,3,Male,2,1,Single,14066,Yes,3,1,32,2,2,12,3,1,4,L6
49,Travel_Rarely,Corporate Functions,Doctorate,3,Male,2,4,Married,10317,Yes,5,2,30,4,2,11,3,4,3,L6
53,Travel_Rarely,Corporate Functions,Diploma,1,Male,1,3,Married,19717,Yes,3,4,34,2,3,11,5,3,3,L6
